iter	Passed	Remaining
0	114	114086
1	114	57278
2	115	38292
3	115	28839
4	116	23142
5	117	19404
6	117	16692
7	118	14680
8	118	13093
9	119	11810
10	119	10778
11	120	9927
12	121	9196
13	121	8562
14	122	8025
15	122	7547
16	123	7140
17	124	6765
18	124	6435
19	125	6146
20	126	5903
21	127	5683
22	129	5480
23	130	5290
24	131	5112
25	131	4931
26	132	4764
27	132	4611
28	133	4465
29	134	4333
30	134	4206
31	135	4084
32	135	3973
33	136	3871
34	136	3774
35	137	3683
36	137	3590
37	138	3502
38	138	3423
39	139	3354
40	140	3294
41	141	3231
42	142	3166
43	142	3105
44	143	3045
45	144	2987
46	144	2931
47	145	2877
48	145	2828
49	146	2780
50	146	2733
51	147	2689
52	148	2645
53	148	2603
54	149	2562
55	149	2526
56	150	2488
57	150	2451
58	151	2415
59	151	2381
60	152	2347
61	153	2315
62	153	2284
63	154	2255
64	154	2227
65	155	2205
66	156	2177
67	156	2150
68	157	2123
69	157	2098
70	158	2072
71	158	2048
72	159	2028
73	160	2006
74	160	1984
75	161	1963
76	161	1941
77	162	1921
78	163	1901
79	163	1882
80	164	1863
81	164	1844
82	165	1823
83	165	1806
84	166	1788
85	166	1771
86	167	1754
87	167	1739
88	168	1723
89	168	1708
90	169	1696
91	170	1684
92	171	1672
93	172	1658
94	172	1643
95	173	1629
96	173	1616
97	174	1603
98	174	1590
99	175	1577
100	175	1564
101	176	1553
102	176	1540
103	177	1529
104	177	1517
105	178	1505
106	179	1494
107	179	1483
108	180	1473
109	180	1462
110	181	1452
111	181	1441
112	182	1431
113	182	1421
114	183	1411
115	184	1402
116	184	1392
117	185	1383
118	186	1377
119	186	1369
120	187	1360
121	187	1350
122	188	1341
123	188	1333
124	189	1324
125	189	1316
126	190	1307
127	190	1300
128	191	1292
129	191	1284
130	192	1276
131	193	1269
132	193	1261
133	194	1254
134	194	1247
135	195	1240
136	195	1232
137	196	1225
138	196	1218
139	197	1211
140	197	1205
141	198	1197
142	198	1191
143	199	1185
144	200	1179
145	200	1173
146	201	1169
147	202	1163
148	202	1157
149	203	1151
150	203	1145
151	204	1139
152	204	1133
153	205	1128
154	205	1122
155	206	1116
156	206	1111
157	207	1105
158	208	1100
159	208	1095
160	209	1089
161	209	1084
162	210	1081
163	211	1076
164	211	1071
165	212	1066
166	212	1062
167	213	1057
168	214	1052
169	214	1048
170	215	1044
171	215	1039
172	216	1034
173	216	1029
174	217	1025
175	218	1020
176	218	1016
177	219	1011
178	219	1007
179	220	1002
180	220	998
181	221	993
182	221	989
183	222	985
184	222	980
185	223	976
186	223	972
187	224	968
188	224	964
189	225	960
190	225	956
191	226	952
192	227	949
193	227	945
194	228	941
195	228	937
196	229	934
197	229	931
198	230	927
199	230	923
200	231	920
201	231	916
202	232	912
203	233	909
204	233	905
205	234	902
206	234	899
207	235	896
208	235	893
209	236	889
210	237	886
211	237	883
212	238	879
213	238	877
214	239	873
215	239	870
216	240	867
217	240	864
218	241	860
219	241	857
220	242	854
221	242	851
222	243	848
223	244	845
224	244	843
225	245	840
226	246	837
227	246	834
228	247	831
229	247	828
230	248	825
231	248	822
232	249	819
233	249	817
234	250	814
235	250	811
236	251	808
237	251	805
238	252	802
239	252	800
240	253	797
241	253	794
242	254	791
243	254	789
244	255	786
245	255	783
246	256	781
247	256	778
248	257	775
249	257	773
250	258	770
251	258	768
252	259	766
253	260	764
254	260	761
255	261	759
256	261	756
257	262	754
258	262	751
259	263	749
260	263	747
261	264	744
262	265	742
263	265	740
264	266	738
265	267	737
266	267	734
267	268	732
268	268	729
269	269	727
270	269	725
271	270	723
272	270	720
273	271	718
274	271	716
275	272	713
276	272	712
277	273	710
278	274	708
279	274	706
280	275	705
281	276	703
282	276	701
283	277	699
284	278	697
285	278	695
286	279	693
287	279	691
288	280	689
289	280	687
290	281	685
291	282	683
292	282	681
293	283	679
294	283	677
295	284	675
296	284	673
297	285	671
298	285	669
299	286	667
300	286	665
301	287	663
302	287	661
303	288	659
304	288	657
305	289	656
306	290	655
307	291	654
308	292	653
309	292	651
310	293	650
311	294	648
312	294	647
313	295	645
314	296	643
315	296	642
316	297	640
317	297	638
318	298	636
319	298	634
320	299	633
321	299	631
322	300	629
323	300	627
324	301	626
325	301	624
326	302	622
327	302	620
328	303	618
329	304	617
330	305	616
331	305	615
332	306	614
333	307	613
334	308	612
335	309	610
336	309	609
337	310	607
338	310	606
339	311	604
340	312	603
341	312	601
342	313	600
343	313	598
344	314	596
345	314	595
346	315	593
347	316	592
348	316	590
349	317	588
350	317	587
351	318	585
352	318	584
353	319	583
354	320	582
355	321	581
356	322	580
357	323	579
358	323	578
359	324	576
360	325	575
361	325	573
362	326	572
363	326	570
364	327	569
365	327	567
366	328	565
367	328	564
368	329	562
369	329	561
370	330	559
371	330	558
372	331	556
373	331	555
374	332	553
375	332	552
376	333	551
377	334	550
378	335	549
379	335	548
380	336	546
381	337	545
382	337	543
383	338	542
384	338	541
385	339	539
386	340	538
387	340	537
388	341	535
389	341	534
390	342	532
391	342	531
392	343	529
393	343	528
394	344	527
395	344	525
396	345	524
397	345	522
398	346	521
399	346	520
400	347	518
401	347	517
402	348	516
403	349	515
404	349	514
405	350	512
406	351	511
407	351	509
408	352	508
409	352	507
410	353	506
411	353	504
412	354	503
413	354	502
414	355	500
415	355	499
416	356	498
417	356	496
418	357	495
419	357	493
420	358	492
421	358	491
422	359	490
423	359	488
424	360	487
425	360	486
426	361	484
427	361	483
428	362	482
429	363	481
430	364	480
431	364	479
432	365	478
433	366	477
434	366	476
435	367	475
436	368	474
437	368	473
438	369	472
439	369	470
440	370	469
441	371	468
442	371	467
443	372	466
444	372	464
445	373	463
446	373	462
447	374	461
448	374	459
449	375	458
450	375	457
451	376	456
452	376	454
453	377	453
454	377	452
455	378	451
456	379	450
457	379	449
458	380	448
459	380	447
460	381	445
461	381	444
462	382	443
463	382	442
464	383	441
465	384	440
466	384	438
467	385	437
468	385	436
469	386	435
470	386	434
471	387	432
472	387	431
473	388	430
474	388	429
475	389	428
476	389	427
477	390	425
478	390	424
479	391	423
480	391	422
481	392	421
482	392	420
483	393	419
484	394	418
485	394	417
486	395	416
487	395	415
488	396	414
489	396	412
490	397	411
491	397	410
492	398	409
493	398	408
494	399	407
495	399	406
496	400	405
497	400	404
498	401	402
499	401	401
500	402	400
501	402	399
502	403	398
503	403	397
504	404	396
505	404	395
506	405	394
507	405	393
508	406	391
509	406	390
510	407	389
511	407	388
512	408	387
513	409	387
514	409	386
515	410	385
516	411	383
517	411	382
518	412	381
519	412	380
520	413	379
521	413	378
522	414	377
523	414	376
524	415	375
525	415	374
526	416	373
527	416	372
528	417	371
529	418	370
530	418	369
531	419	368
532	419	367
533	420	366
534	420	365
535	421	364
536	421	363
537	422	362
538	422	361
539	423	360
540	424	359
541	424	358
542	425	357
543	425	356
544	426	355
545	426	354
546	427	353
547	427	352
548	428	351
549	428	350
550	429	349
551	429	348
552	430	347
553	431	347
554	431	346
555	432	345
556	432	344
557	433	343
558	433	342
559	434	341
560	434	340
561	435	339
562	435	338
563	436	337
564	436	336
565	437	335
566	437	334
567	438	333
568	439	332
569	439	331
570	440	330
571	440	329
572	441	328
573	441	327
574	442	327
575	442	326
576	443	325
577	444	324
578	444	323
579	445	322
580	445	321
581	446	320
582	447	319
583	447	318
584	448	318
585	448	317
586	449	316
587	449	315
588	450	314
589	451	313
590	451	312
591	452	311
592	452	310
593	453	309
594	454	309
595	454	308
596	455	307
597	455	306
598	456	305
599	456	304
600	457	303
601	457	302
602	458	301
603	458	300
604	459	299
605	459	299
606	460	298
607	460	297
608	461	296
609	461	295
610	462	294
611	462	293
612	463	292
613	463	291
614	464	290
615	464	289
616	465	288
617	465	287
618	466	287
619	466	286
620	467	285
621	468	284
622	468	283
623	469	282
624	469	281
625	470	281
626	470	280
627	471	279
628	472	278
629	472	277
630	472	276
631	473	275
632	474	274
633	474	273
634	475	273
635	475	272
636	476	271
637	476	270
638	477	269
639	477	268
640	478	267
641	478	266
642	479	266
643	479	265
644	480	264
645	480	263
646	481	262
647	481	261
648	482	260
649	482	259
650	483	259
651	484	258
652	484	257
653	485	256
654	485	255
655	486	255
656	487	254
657	487	253
658	488	252
659	488	251
660	489	250
661	489	250
662	490	249
663	490	248
664	491	247
665	491	246
666	492	245
667	492	244
668	493	244
669	493	243
670	494	242
671	494	241
672	495	240
673	496	239
674	496	239
675	496	238
676	497	237
677	498	236
678	498	235
679	499	235
680	500	234
681	500	233
682	501	232
683	501	231
684	502	231
685	502	230
686	503	229
687	504	228
688	504	227
689	505	227
690	505	226
691	506	225
692	506	224
693	507	223
694	508	222
695	508	222
696	509	221
697	509	220
698	510	219
699	510	218
700	511	217
701	511	217
702	512	216
703	512	215
704	513	214
705	514	214
706	514	213
707	515	212
708	515	211
709	516	210
710	517	210
711	518	209
712	518	208
713	519	208
714	519	207
715	520	206
716	521	205
717	521	204
718	522	204
719	522	203
720	523	202
721	523	201
722	524	200
723	524	200
724	525	199
725	525	198
726	526	197
727	526	196
728	527	196
729	528	195
730	528	194
731	529	193
732	530	193
733	530	192
734	531	191
735	531	190
736	532	190
737	533	189
738	533	188
739	534	187
740	535	187
741	535	186
742	536	185
743	536	184
744	537	183
745	538	183
746	538	182
747	539	181
748	539	180
749	540	180
750	541	179
751	541	178
752	542	178
753	543	177
754	544	176
755	545	175
756	545	175
757	546	174
758	546	173
759	547	172
760	547	172
761	548	171
762	548	170
763	549	169
764	549	168
765	550	168
766	550	167
767	551	166
768	551	165
769	552	165
770	553	164
771	553	163
772	554	162
773	554	161
774	555	161
775	555	160
776	556	159
777	556	158
778	557	158
779	557	157
780	558	156
781	559	155
782	560	155
783	560	154
784	561	153
785	561	152
786	562	152
787	562	151
788	563	150
789	563	149
790	564	149
791	564	148
792	565	147
793	566	146
794	566	146
795	567	145
796	567	144
797	568	143
798	568	143
799	569	142
800	569	141
801	570	140
802	570	140
803	571	139
804	571	138
805	572	137
806	573	137
807	573	136
808	574	135
809	575	134
810	575	134
811	576	133
812	576	132
813	577	131
814	577	131
815	578	130
816	578	129
817	579	128
818	579	128
819	580	127
820	580	126
821	581	125
822	581	125
823	582	124
824	582	123
825	583	122
826	583	122
827	584	121
828	584	120
829	585	119
830	585	119
831	586	118
832	586	117
833	587	116
834	588	116
835	589	115
836	589	114
837	590	114
838	590	113
839	591	112
840	591	111
841	592	111
842	592	110
843	593	109
844	593	108
845	594	108
846	595	107
847	595	106
848	596	106
849	597	105
850	597	104
851	598	104
852	599	103
853	599	102
854	600	101
855	601	101
856	601	100
857	602	99
858	603	99
859	603	98
860	604	97
861	605	96
862	605	96
863	606	95
864	606	94
865	607	93
866	607	93
867	608	92
868	608	91
